name,type,location_level,amenities_notes,known_address,source,onemap_address,postal_code,latitude,longitude,building_match,match_confidence
VivoCity,Nursing Room,Levels 2 (Lobbies Q and H) and 3 (Lobby H),4 nursing areas; playground nearby,1 HarbourFront Walk Singapore 098585,BMSG+SassyMama,1 HARBOURFRONT WALK GOLDEN VILLAGE (GV VIVOCITY) SINGAPORE 098585,098585,1.26431382492761,103.82207343835,GOLDEN VILLAGE (GV VIVOCITY),LOW_REVIEW
Waterway Point,Nursing Room,Basement 2 to Level 2,Fits 2 strollers; bench for accompanying family,83 Punggol Central Singapore 828763,BMSG+SassyMama,,,1.4064266,103.9020102,Waterway Point,NOMINATIM
Institute of Mental Health,Nursing Pod,Child Guidance Clinic Block 3 B1; Private Clinic Block 1 Level 2,Lockable cubicles; power points,10 Buangkok View Singapore 539747,BMSG,,,1.3818932,103.8826187,Institute of Mental Health,NOMINATIM
Ng Teng Fong Hospital,Nursing Rooms,Tower B Level 2 (near Fork & Spoon); Tower C Level 1M (staff only),Wash basin; power points; multiple cubicles,1 Jurong East Street 21 Singapore 609606,BMSG,1 JURONG EAST STREET 21 JURONG COMMUNITY HOSPITAL SINGAPORE 609606,609606,1.33260943666141,103.746634963937,JURONG COMMUNITY HOSPITAL,LOW_REVIEW
Serangoon Polyclinic,Nursing Room,Level 6,Lockable; wash basin; power points,587 Upper Serangoon Rd Singapore 534564,BMSG,,,1.3508497,103.8740131,Serangoon Polyclinic,NOMINATIM
Holy Cross Church,Nursing Pod,,Private room for one parent and baby,450 Clementi Avenue 1 Singapore 129955,BMSG,,,1.3076779,103.7706734,Holy Cross Church,NOMINATIM
Pusara Aman Mosque,Nursing Pod,,Diaper changing station; private room,11 Lim Chu Kang Road Singapore 719452,BMSG,11 LIM CHU KANG ROAD MASJID PUSARA AMAN SINGAPORE 719452,719452,1.3727932945804,103.694316302339,MASJID PUSARA AMAN,HIGH
313@Somerset,Nursing Room,"Levels B3, 1 and 5",Armchairs; microwave at B3/L5; power points at L1,313 Orchard Rd Singapore 238895,SassyMama,,,1.3010188,103.8385057,313@Somerset,NOMINATIM
Anchorpoint Shopping Centre,Nursing Room,Basement 1 and Level 1 by restrooms,Two rooms with curtains; power points,370 Alexandra Road Singapore 159953,SassyMama,370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953,159953,1.28861469030586,103.805009964592,ANCHORPOINT SHOPPING CENTRE,HIGH
Ang Mo Kio Hub,Nursing Room,Level 3 near restrooms,Lockable; benches; sinks; hot water dispenser,53 Ang Mo Kio Ave 3 Singapore 569933,SassyMama,,,1.3697957,103.8481755,Ang Mo Kio Hub,NOMINATIM
Aperia Kallang Mall,Nursing Room,Level 1 next to restrooms,"Two rooms, curtain-separated, no locks",12 Kallang Ave Singapore 339511,SassyMama,,,1.3097673,103.8637868,Aperia Kallang Mall,NOMINATIM
Bedok Mall,Nursing Room,Level B1 near restrooms,Two lockable rooms; no stroller space,311 New Upper Changi Rd Singapore 467360,SassyMama,,,1.3248627,103.9292277,Bedok Mall,NOMINATIM
Bugis Junction,Nursing Room,Level 3,Two cubicles with curtains; playground,200 Victoria St Singapore 188021,SassyMama,,,1.2988992,103.8551834,Bugis Junction,NOMINATIM
Bukit Panjang Plaza,Nursing Room,Level 1; Levels 2-3; Level 4,L1 cubicle only; L2-4 lockable,1 Jelebu Rd Singapore 677743,SassyMama,1 JELEBU ROAD BUKIT PANJANG LIBRARY SINGAPORE 677743,677743,1.37948804026655,103.764594965051,BUKIT PANJANG LIBRARY,HIGH
Bukit Timah Plaza,Nursing Room,Level B1,Entire room lockable; changing table; sink,1 Jalan Anak Bukit Singapore 588996,SassyMama,,,1.3384959,103.7785112,Bukit Timah Plaza,NOMINATIM
Causeway Point,Nursing Room,Levels 1 to 5 and Level 7 near restrooms,Sofas; curtains; sinks; power points,1 Woodlands Square Singapore 738099,SassyMama,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,738099,1.4360700650803,103.785981524253,CAUSEWAY POINT,HIGH
Central @ Clarke Quay,Nursing Room,Level 1 near female restrooms,Lockable room; changing station; sink,6 Eu Tong Sen St Singapore 059817,SassyMama,,,1.2889856,103.8464904,Central @ Clarke Quay,NOMINATIM
Centrepoint,Nursing Room,Level 6,Lockable; armchairs; playpen and cot,176 Orchard Rd Singapore 238843,SassyMama,,,1.3018631,103.8397189,Centrepoint,NOMINATIM
Changi Airport,Nursing Room,All 4 terminals - see Changi Airport facilities directory,30 baby care facilities; Peranakan-themed room in T4,60 Airport Blvd Singapore 819643,SassyMama,60 AIRPORT BOULEVARD METEOROLOGICAL SERVICE SINGAPORE SINGAPORE 819643,819643,1.35525176294219,103.988939665328,METEOROLOGICAL SERVICE SINGAPORE,LOW_REVIEW
Changi City Point,Nursing Room,Level B1 to Level 2,"Armchairs; bag hooks; no locks, curtains only",5 Changi Business Park Central 1 Singapore 486038,SassyMama,,,1.3345959,103.9627854,Changi City Point,NOMINATIM
Chinatown Point,Nursing Room,Level 3,Small; no locks or separation,133 New Bridge Rd Singapore 059413,SassyMama,133 NEW BRIDGE ROAD CHINATOWN POINT SINGAPORE 059413,059413,1.28499882847401,103.844697081142,CHINATOWN POINT,HIGH
City Square Mall,Nursing Room,Levels 2 and 4,Two lockable rooms; fits stroller,180 Kitchener Rd Singapore 208539,SassyMama,,,1.3115008,103.8567041,City Square Mall,NOMINATIM
Claymore Connect,Nursing Room,Level 3 near restrooms,Lockable; benches; power points,442 Orchard Rd Singapore 238879,SassyMama,,,1.3076686,103.8281644,Claymore Connect,NOMINATIM
Clementi Mall,Nursing Room,"Levels 3, 4 and 5",Lockable; magazine rack; play area on L4,3155 Commonwealth Ave W Singapore 129588,SassyMama,,,1.3151244,103.7645187,Clementi Mall,NOMINATIM
Compass One,Nursing Room,Level B1 and Level 4,Warmly lit; long bench,1 Sengkang Square Singapore 545078,SassyMama,,,1.3920337,103.8949526,Compass One,NOMINATIM
Far East Plaza,Nursing Room,Levels 1 to 5 near restrooms,Lockable; bottle warmer; high chair,14 Scotts Rd Singapore 228213,SassyMama,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,228213,1.30717698071189,103.833792932243,FAR EAST PLAZA,HIGH
Forum The Shopping Mall,Nursing Room,Level 1,Two rooms with curtains; wash basin,583 Orchard Rd Singapore 238884,SassyMama,,,1.3061105,103.8286985,Forum The Shopping Mall,NOMINATIM
The Fullerton Hotel Singapore,Nursing Room,Level B1 near restrooms,Fold-down changing table; nursing alcove,1 Fullerton Square Singapore 049178,SassyMama,,,1.2862019,103.8530726,The Fullerton Hotel Singapore,NOMINATIM
Great World,Nursing Room,"Levels B1, 1 and 2",Lockable; armchair and table,1 Kim Seng Promenade Singapore 237994,SassyMama,1 KIM SENG PROMENADE BRIGHTON MONTESSORI CENTRES PTE. LTD. SINGAPORE 237994,237994,1.29380235105066,103.831757911057,BRIGHTON MONTESSORI CENTRES PTE. LTD.,LOW_REVIEW
Harbourfront Centre,Nursing Room,Levels 2 and 3 Lobby A,Basic; changing tables; private feeding areas,1 Maritime Square Singapore 099253,SassyMama,,,1.2636487,103.8184226,Harbourfront Centre,NOMINATIM
Hougang Mall,Nursing Room,Levels 2 and 5 near restrooms,No locks; curtain-separated,90 Hougang Ave 10 Singapore 538766,SassyMama,90 HOUGANG AVENUE 10 CHENG SAN LIBRARY SINGAPORE 538766,538766,1.37253315637342,103.893883460466,CHENG SAN LIBRARY,LOW_REVIEW
IKEA,Nursing Room,Near the restaurant (all 3 SG stores),Free baby food; microwaves; diaper dispenser,317 Alexandra Road Singapore 159965,SassyMama,,,1.2878737,103.8058903,IKEA,NOMINATIM
ION Orchard,Nursing Room,"Levels B4, B3, B1, 3 and 4",Bottle warmer; diaper vending machine (B3/B4),2 Orchard Turn Singapore 238801,SassyMama,,,1.3042007,103.8318627,ION Orchard,NOMINATIM
JEM,Nursing Room,"Level B1, 3 and 5; family toilet Levels 2-5",3 lockable rooms; bottle warmer; children's loo,50 Jurong Gateway Rd Singapore 608549,SassyMama,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549,608549,1.33329334473462,103.743278742341,JEM,HIGH
Jewel,Nursing Room,Every level B2 to Level 4,Padded stations; private cubicles; charging outlets,78 Airport Boulevard Singapore 819666,SassyMama,,,1.3602243,103.9896749,Jewel,NOMINATIM
Junction 8,Nursing Room,"Level B1, 1, 2 and 3",Two lockable rooms; bottle warmer; high chair,9 Bishan Pl Singapore 579837,SassyMama,9 BISHAN PLACE GOLDEN VILLAGE (GV BISHAN) SINGAPORE 579837,579837,1.35042215656701,103.848826189269,GOLDEN VILLAGE (GV BISHAN),LOW_REVIEW
Jurong East Bus Interchange,Nursing Room,Bus interchange,Padded changing table; lockable room,17A Jurong Gateway Road Singapore 608513,SassyMama,,,1.3358428,103.7456165,Jurong East Bus Interchange,NOMINATIM
Jurong Point,Nursing Room,JP1 L3; JP2 B1; L3 Mongkok Street,Padded stations; sink; hot/cold dispenser,1 Jurong West Central 2 Singapore 648886,SassyMama,,,1.3394964,103.705254,Jurong Point,NOMINATIM
KINEX,Nursing Room,Level 2,3 lockable rooms; comfy waiting area,11 Tanjong Katong Road Singapore 437157,SassyMama,11 TANJONG KATONG ROAD DNC (EDUCATION) PTE. LTD. SINGAPORE 437157,437157,1.31474238838871,103.8945518516,DNC (EDUCATION) PTE. LTD.,LOW_REVIEW
Mandarin Gallery,Nursing Room,"Levels 2, 3, 4 near restrooms",Entire room lockable; sofa,333A Orchard Rd Singapore 238897,SassyMama,,,1.302049,103.836605,Mandarin Gallery,NOMINATIM
Marina Square,Nursing Room,Level B1 and Levels 1 to 3,Lockable; sofa; waiting area,6 Raffles Blvd Singapore 039594,SassyMama,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,039594,1.29185533273026,103.85857808906,MARINA SQUARE,HIGH
Marina Bay Link Mall,Nursing Room,Level B2,Small; no pram space; fold-down table,8A Marina Blvd Singapore 018984,SassyMama,,,1.2812488,103.8530087,Marina Bay Link Mall,NOMINATIM
Millennia Walk,Nursing Room,Level B1 next to lift lobby B,Two rooms; toddler high chairs,9 Raffles Blvd Singapore 039596,SassyMama,,,1.2928695,103.8594161,Millennia Walk,NOMINATIM
National Gallery Singapore,Nursing Room,"One room per floor, B1 to Level 5",6 rooms total; not wheelchair accessible,1 St Andrew's Road Singapore 178957,SassyMama,1 SAINT ANDREW'S ROAD NATIONAL GALLERY SINGAPORE SINGAPORE 178957,178957,1.29065533840368,103.851708013559,NATIONAL GALLERY SINGAPORE,HIGH
NEX,Nursing Room,"Levels B2, B1, 1, 2, 3, 4 and Sky Garden",Two lockable rooms; Yakult vending machine,23 Serangoon Central Singapore 556083,SassyMama,,,1.3507085,103.8725819,NEX,NOMINATIM
Ngee Ann City,Nursing Room,Level B1 (inside female restroom); Level B2,Locks/power points only on B2,391A Orchard Rd Singapore 238873,SassyMama,391A ORCHARD ROAD NGEE ANN CITY SINGAPORE 238873,238873,1.30242417189411,103.834676124723,NGEE ANN CITY,HIGH
Northpoint City,Nursing Room,B2 to Level 3 (North Wing); B2 to Level 2 (South Wing),Lockable; changing stations; power points,930 Yishun Ave 2 Singapore 769098,SassyMama,,,1.428813,103.8357469,Northpoint City,NOMINATIM
One Raffles Place,Nursing Room,Level 4 next to restrooms,Small; no pram space; power points,1 Raffles Pl Singapore 048616,SassyMama,1 RAFFLES PLACE ONE RAFFLES PLACE SINGAPORE 048616,048616,1.28434954622306,103.851072545834,ONE RAFFLES PLACE,HIGH
OUE Downtown Gallery,Nursing Room,Level 2,Separate nursing/changing area; tight space,6A Shenton Way Singapore 068815,SassyMama,,,1.2770527,103.8484578,OUE Downtown Gallery,NOMINATIM
Palais Renaissance,Nursing Room,Level 2 restroom,One cubicle; entire room lockable,390 Orchard Rd Singapore 238871,SassyMama,,,1.3067203,103.8296522,Palais Renaissance,NOMINATIM
Plaza Singapura,Nursing Room,"Levels 2, 3, 4 and 6",One lockable area per room; hot/cold dispenser,68 Orchard Rd Singapore 238839,SassyMama,68 ORCHARD ROAD GOLDEN VILLAGE (GV PLAZA) SINGAPORE 238839,238839,1.30082071769235,103.845067272666,GOLDEN VILLAGE (GV PLAZA),LOW_REVIEW
Resorts World Sentosa,Nursing Room,4 rooms across RWS incl. USS Baby Centre,Microwave; coin diaper dispensers; play space,8 Sentosa Gateway Singapore 098269,SassyMama,,,1.2556955,103.8202156,Resorts World Sentosa,NOMINATIM
River Wonders,Nursing Room,"Near entrance, Giant Panda Forest, Boat Plaza, Amazon Flooded Forest",Lockable; changing tables; power points,80 Mandai Lake Rd Singapore 729826,SassyMama,80 MANDAI LAKE ROAD SINGAPORE ZOO SINGAPORE 729826,729826,1.40559439269495,103.789598292943,SINGAPORE ZOO,LOW_REVIEW
Scotts Square,Nursing Room,Levels 2 and 3 near restrooms,One lockable room; bench,6 Scotts Rd Singapore 228209,SassyMama,6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209,228209,1.30579942993543,103.833074706219,SCOTTS SQUARE,HIGH
Sentosa Island (Festive Walk / Galleria),Nursing Room,Festive Walk B1/L1; Galleria (3 rooms),Sinks; power points; changing tables,Sentosa Island Singapore,SassyMama,,,1.2489459,103.8343056,Sentosa Island (Festive Walk / Galleria),NOMINATIM
Shaw Centre,Nursing Room,Level 4 inside Isetan children's dept,Two lockable rooms; food warmer on request,1 Scotts Rd Singapore 228208,SassyMama,,,1.3066335,103.8313493,Shaw Centre,NOMINATIM
The Shoppes at Marina Bay Sands,Nursing Room,"Levels B2, B1 and 1",One family per room; cushioned changing tables,8 Bayfront Ave Singapore 018955,SassyMama,,,1.2777305,103.8563473,The Shoppes at Marina Bay Sands,NOMINATIM
Singapore City Gallery,Nursing Room,Level 2 near Gallery room,Stroller parking; lockable; sofas,45 Maxwell Road Singapore 069118,SassyMama,45 MAXWELL ROAD COMPETITION AND CONSUMER COMMISSION OF SINGAPORE (CCS) SINGAPORE 069118,069118,1.2795512783646,103.845209377351,COMPETITION AND CONSUMER COMMISSION OF SINGAPORE (CCS),LOW_REVIEW
Singapore Zoo,Nursing Room,"Rainforest Kidzworld, Reptile Garden, main entrance",Curtain-separated; hot/cold dispenser,80 Mandai Lake Rd Singapore 729826,SassyMama,,,1.4037076,103.7940374,Singapore Zoo,NOMINATIM
SingPost Centre,Nursing Room,Levels B1 and L3,Minimalist; child-friendly toilet,10 Eunos Rd 8 Singapore 408600,SassyMama,10 EUNOS ROAD 8 GENERAL POST OFFICE SINGAPORE 408600,408600,1.31893132637472,103.894482925602,GENERAL POST OFFICE,LOW_REVIEW
Suntec City Shopping Mall,Nursing Room,Levels 1 and 2,Bottle steriliser on L1; smaller room on L2,3 Temasek Boulevard Singapore 038983,SassyMama,,,1.2951505,103.8598741,Suntec City Shopping Mall,NOMINATIM
Takashimaya (Ngee Ann City wing),Nursing Room,"Children's Department, Level 4",See Takashimaya main entry,391 Orchard Rd Singapore 238872,SassyMama,,,1.3022662,103.8345239,Takashimaya (Ngee Ann City wing),NOMINATIM
Tampines Mall,Nursing Room,Level 2 near Lift Lobby A,Two lockable rooms; baby holder,4 Tampines Central 5 Singapore 529510,SassyMama,4 TAMPINES CENTRAL 5 GOLDEN VILLAGE (GV TAMPINES) SINGAPORE 529510,529510,1.35250468330971,103.944682574769,GOLDEN VILLAGE (GV TAMPINES),LOW_REVIEW
Tampines 1,Nursing Room,Levels 2 and 5,Two lockable rooms; benches,10 Tampines Central 1 Singapore 529536,SassyMama,,,1.35422,103.9451247,Tampines 1,NOMINATIM
Tanglin Mall,Nursing Room,Level 3 (baby care); Level 2 (diaper changing),Fits multiple strollers; dated decor,163 Tanglin Road Singapore 247933,SassyMama,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,247933,1.30484344196915,103.823852794772,TANGLIN MALL,HIGH
Thomson Plaza,Nursing Room,Level 3,Lockable; bench; waiting area,301 Upper Thomson Rd Singapore 574408,SassyMama,,,1.3545979,103.8308732,Thomson Plaza,NOMINATIM
Tiong Bahru Plaza,Nursing Room,"Levels B1, 1 to 3",No locks; bench; waiting area,302 Tiong Bahru Rd Singapore 168732,SassyMama,,,1.2863599,103.827333,Tiong Bahru Plaza,NOMINATIM
Valley Point Shopping Centre,Nursing Room,Level 1,"One cubicle, curtain-separated, no locks",491 River Valley Rd Singapore 248371,SassyMama,491 RIVER VALLEY ROAD VALLEY POINT SINGAPORE 248371,248371,1.29303600932874,103.827069067058,VALLEY POINT,LOW_REVIEW
Velocity @ Novena,Nursing Room,Level 2,Two lockable rooms; sofa,238 Thomson Road Singapore 307683,SassyMama,,,1.3201525,103.8433675,Velocity @ Novena,NOMINATIM
West Coast Plaza,Nursing Room,Level B1,One lockable room; bench,154 West Coast Rd Singapore 127371,SassyMama,154 WEST COAST ROAD MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED SINGAPORE 127371,127371,1.30362457527941,103.765858386923,MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED,LOW_REVIEW
Wheelock Place,Nursing Room,Level 1,Single lockable room; lift access only,501 Orchard Rd Singapore 238880,SassyMama,,,1.3046691,103.8306003,Wheelock Place,NOMINATIM
Wisma Atria,Nursing Room,Level 3,Small area inside female restroom,435 Orchard Rd Singapore 238877,SassyMama,,,1.3036967,103.8332876,Wisma Atria,NOMINATIM
