can_buy_diaper,created_at,dad_friendly,floor_level,has_changing_table,has_diaper_mat,has_lock,has_power_outlet,has_sink,notes,stroller_friendly,updated_at,venue_id
False,2026-08-15T18:21:34.211459+00:00,False,Level 6,False,False,True,False,False,Lockable; armchairs; playpen and cot,False,2026-08-15T18:21:34.211459+00:00,56ea2d5d-3672-4b60-9612-312022a32b6a
False,2026-08-15T18:21:34.211459+00:00,False,All 4 terminals - see Changi Airport facilities directory,False,False,False,False,False,30 baby care facilities; Peranakan-themed room in T4,False,2026-08-15T18:21:34.211459+00:00,9254956c-34cb-4d9c-acbe-2580f6613422
False,2026-08-15T18:21:34.211459+00:00,False,Level B1 to Level 2,False,False,True,False,False,"Armchairs; bag hooks; no locks, curtains only",False,2026-08-15T18:21:34.211459+00:00,65033699-7338-4b86-b9bb-8d8e8305d797
False,2026-08-15T18:21:34.211459+00:00,False,Level 3,False,False,True,False,False,Small; no locks or separation,False,2026-08-15T18:21:34.211459+00:00,413ee801-818b-490b-aae3-05045110c528
False,2026-08-15T18:21:34.211459+00:00,False,Levels 2 and 4,False,False,True,False,False,Two lockable rooms; fits stroller,True,2026-08-15T18:21:34.211459+00:00,b21fd182-9b81-42d7-be0d-24f34cfe0a79
False,2026-08-15T18:21:34.211459+00:00,False,Level 3 near restrooms,False,False,True,True,False,Lockable; benches; power points,False,2026-08-15T18:21:34.211459+00:00,1de3f1da-a760-452b-89cb-5dcf56de429a
False,2026-08-15T18:21:34.211459+00:00,False,"Levels 3, 4 and 5",False,False,True,False,False,Lockable; magazine rack; play area on L4,False,2026-08-15T18:21:34.211459+00:00,5f4cfc28-aa22-4e6e-a1b5-657a403e6bd1
False,2026-08-15T18:21:34.211459+00:00,False,Level B1 and Level 4,False,False,False,False,False,Warmly lit; long bench,False,2026-08-15T18:21:34.211459+00:00,0f487aa9-efe0-4e07-9315-672aed1ec4d5
False,2026-08-15T18:21:34.211459+00:00,False,Levels 1 to 5 near restrooms,False,False,True,False,False,Lockable; bottle warmer; high chair,False,2026-08-15T18:21:34.211459+00:00,709c6640-60af-4008-bf2c-b79b38e0c3e1
False,2026-08-15T18:21:34.211459+00:00,False,Level 1,False,False,False,False,True,Two rooms with curtains; wash basin,False,2026-08-15T18:21:34.211459+00:00,9002473b-f07d-4267-a729-de61102f4e88
False,2026-08-15T18:21:34.211459+00:00,False,Level B1 near restrooms,True,False,False,False,False,Fold-down changing table; nursing alcove,False,2026-08-15T18:21:34.211459+00:00,e2595daf-b1f3-49fe-860e-9d0dec10ab5a
False,2026-08-15T18:21:34.211459+00:00,False,"Levels B1, 1 and 2",False,False,True,False,False,Lockable; armchair and table,False,2026-08-15T18:21:34.211459+00:00,acc8315e-77e7-41f6-9a03-fffbc1b32a04
False,2026-08-15T18:21:34.211459+00:00,False,Levels 2 and 3 Lobby A,True,False,False,False,False,Basic; changing tables; private feeding areas,False,2026-08-15T18:21:34.211459+00:00,875c7251-5140-4d1c-9321-1d40641bcf0d
False,2026-08-15T18:21:34.211459+00:00,False,Levels 2 and 5 near restrooms,False,False,True,False,False,No locks; curtain-separated,False,2026-08-15T18:21:34.211459+00:00,5cfef56e-e478-4599-95a0-7a155c341b00
True,2026-08-15T18:21:34.211459+00:00,False,Near the restaurant (all 3 SG stores),True,False,False,False,False,Free baby food; microwaves; diaper dispenser,False,2026-08-15T18:21:34.211459+00:00,10ac6160-68b0-4ba7-b544-882e8e89171e
True,2026-08-15T18:21:34.211459+00:00,False,"Levels B4, B3, B1, 3 and 4",True,False,False,False,False,Bottle warmer; diaper vending machine (B3/B4),False,2026-08-15T18:21:34.211459+00:00,529d43ab-c95f-434c-a079-ad328769e1d3
False,2026-08-15T18:21:34.211459+00:00,False,Every level B2 to Level 4,False,False,False,True,False,Padded stations; private cubicles; charging outlets,False,2026-08-15T18:21:34.211459+00:00,2ed1b1d9-748d-465b-be35-4908d66a2f05
False,2026-08-15T18:21:34.211459+00:00,False,"Level B1, 1, 2 and 3",False,False,True,False,False,Two lockable rooms; bottle warmer; high chair,False,2026-08-15T18:21:34.211459+00:00,b92e4d9d-9f4e-460f-b949-9c2ca0d7c4e1
False,2026-08-15T18:21:34.211459+00:00,False,Bus interchange,True,False,True,False,False,Padded changing table; lockable room,False,2026-08-15T18:21:34.211459+00:00,4eb4e5f4-1dd3-4dfc-920f-94bc2f919f81
False,2026-08-15T18:21:34.211459+00:00,False,JP1 L3; JP2 B1; L3 Mongkok Street,False,False,False,False,True,Padded stations; sink; hot/cold dispenser,False,2026-08-15T18:21:34.211459+00:00,b82dc24d-6ecf-40ba-a245-daa0a6fa18ca
False,2026-08-15T18:21:34.211459+00:00,False,Level 2,False,False,True,False,False,3 lockable rooms; comfy waiting area,False,2026-08-15T18:21:34.211459+00:00,5adbdbde-8af5-48e5-b8ce-33362fa1a83b
False,2026-08-15T18:21:34.211459+00:00,False,"Levels 2, 3, 4 near restrooms",False,False,True,False,False,Entire room lockable; sofa,False,2026-08-15T18:21:34.211459+00:00,52b482c3-7a03-48e4-96f8-7044b26edb92
False,2026-08-15T18:21:34.211459+00:00,False,Level B1 and Levels 1 to 3,False,False,True,False,False,Lockable; sofa; waiting area,False,2026-08-15T18:21:34.211459+00:00,6f98588a-7834-40aa-91fe-92451fb9809d
False,2026-08-15T18:21:34.211459+00:00,False,Level B2,False,False,False,False,False,Small; no pram space; fold-down table,True,2026-08-15T18:21:34.211459+00:00,a375d60c-eb21-46f6-8e72-f84e63c39757
False,2026-08-15T18:21:34.211459+00:00,False,Level B1 next to lift lobby B,True,False,True,False,True,Two rooms; toddler high chairs · Also reported at: B1,True,2026-08-15T18:21:34.211459+00:00,4834120a-5ac7-4b49-b8ca-62744aa90432
False,2026-08-15T18:21:34.211459+00:00,False,"One room per floor, B1 to Level 5",False,False,False,False,False,6 rooms total; not wheelchair accessible,False,2026-08-15T18:21:34.211459+00:00,29526066-f22c-430b-848e-aa64a5beea05
True,2026-08-15T18:21:34.211459+00:00,False,"Levels B2, B1, 1, 2, 3, 4 and Sky Garden",False,False,True,False,False,Two lockable rooms; Yakult vending machine,False,2026-08-15T18:21:34.211459+00:00,a1fc4272-245b-4bb5-bb99-408988e6bc27
False,2026-08-15T18:21:34.211459+00:00,False,Level B1 (inside female restroom); Level B2,False,False,True,True,False,Locks/power points only on B2,False,2026-08-15T18:21:34.211459+00:00,f6c46a14-ab21-48e3-a4ac-8cbbc3dc6516
False,2026-08-15T18:21:34.211459+00:00,False,B2 to Level 3 (North Wing); B2 to Level 2 (South Wing),True,False,True,True,False,Lockable; changing stations; power points,False,2026-08-15T18:21:34.211459+00:00,40f39ad9-8017-42ea-9fec-3dcad7937e89
False,2026-08-15T18:21:34.211459+00:00,False,Level 4 next to restrooms,False,False,False,True,False,Small; no pram space; power points,True,2026-08-15T18:21:34.211459+00:00,5fada42b-dc84-4781-8cec-b00d95f658e1
False,2026-08-15T18:21:34.211459+00:00,False,Level 2,False,False,False,False,False,Separate nursing/changing area; tight space,False,2026-08-15T18:21:34.211459+00:00,7fd6268f-5621-42e2-a5f9-76b1b8535d6d
False,2026-08-15T18:21:34.211459+00:00,False,Level 2 restroom,False,False,True,False,False,One cubicle; entire room lockable,False,2026-08-15T18:21:34.211459+00:00,cd343d69-8ddc-4e33-b05a-88d552b76309
False,2026-08-15T18:21:34.211459+00:00,False,"Levels 2, 3, 4 and 6",False,False,True,False,False,One lockable area per room; hot/cold dispenser,False,2026-08-15T18:21:34.211459+00:00,71db8462-15a1-4048-9e83-312f570bda17
True,2026-08-15T18:21:34.211459+00:00,False,4 rooms across RWS incl. USS Baby Centre,True,False,False,False,False,Microwave; coin diaper dispensers; play space,False,2026-08-15T18:21:34.211459+00:00,04838416-ebe5-4f5f-89c0-f43a869eb594
False,2026-08-15T18:21:34.211459+00:00,False,"Near entrance, Giant Panda Forest, Boat Plaza, Amazon Flooded Forest",True,False,True,True,False,Lockable; changing tables; power points,False,2026-08-15T18:21:34.211459+00:00,0973e839-9dc3-4a6d-a068-8ccfd6779573
False,2026-08-15T18:21:34.211459+00:00,False,Levels 2 and 3 near restrooms,False,False,True,False,False,One lockable room; bench,False,2026-08-15T18:21:34.211459+00:00,1a3ea423-a5e1-4b9b-8bb7-32d4325e1682
False,2026-08-15T18:21:34.211459+00:00,False,Festive Walk B1/L1; Galleria (3 rooms),True,False,False,True,True,Sinks; power points; changing tables,False,2026-08-15T18:21:34.211459+00:00,22ae9c08-fa57-4011-92cb-4a2b4d0a75b4
False,2026-08-15T18:21:34.211459+00:00,False,Level 4 inside Isetan children's dept,False,False,True,False,False,Two lockable rooms; food warmer on request,False,2026-08-15T18:21:34.211459+00:00,2cbbc249-430d-44d8-85bb-e3cad37afa17
False,2026-08-15T18:21:34.211459+00:00,False,"Levels B2, B1 and 1",True,False,False,False,False,One family per room; cushioned changing tables,False,2026-08-15T18:21:34.211459+00:00,c5306c35-0195-4486-80cb-b1b19652c539
False,2026-08-15T18:21:34.211459+00:00,False,Level 2 near Gallery room,False,False,True,False,False,Stroller parking; lockable; sofas,True,2026-08-15T18:21:34.211459+00:00,c15d1608-bc09-457f-825f-81d40e0f387d
False,2026-08-15T18:21:34.211459+00:00,False,"Rainforest Kidzworld, Reptile Garden, main entrance",False,False,False,False,False,Curtain-separated; hot/cold dispenser,False,2026-08-15T18:21:34.211459+00:00,5c13ed8e-c0f4-445e-8f5f-4a3a9110e67d
False,2026-08-15T18:21:34.211459+00:00,False,Levels B1 and L3,False,False,False,False,False,Minimalist; child-friendly toilet,False,2026-08-15T18:21:34.211459+00:00,f29cccad-1ce9-439f-b4e1-5520509b5ee1
False,2026-08-15T18:21:34.211459+00:00,False,Levels 1 and 2,False,False,False,False,False,Bottle steriliser on L1; smaller room on L2,False,2026-08-15T18:21:34.211459+00:00,f3664916-1aa9-4576-93ea-b7fc8c1c9a92
False,2026-08-15T18:21:34.211459+00:00,False,"Children's Department, Level 4",False,False,False,False,False,See Takashimaya main entry,False,2026-08-15T18:21:34.211459+00:00,fd728208-573e-4a6f-a1bf-053cdaa27a21
False,2026-08-15T18:21:34.211459+00:00,False,Level 2 near Lift Lobby A,False,False,True,False,False,Two lockable rooms; baby holder,False,2026-08-15T18:21:34.211459+00:00,5400eb45-1961-4433-8ff7-11ae64c0e75a
False,2026-08-15T18:21:34.211459+00:00,False,Levels 2 and 5,False,False,True,False,False,Two lockable rooms; benches,False,2026-08-15T18:21:34.211459+00:00,334eaefe-7507-4f38-8be7-3cdc9d100f06
False,2026-08-15T18:21:34.211459+00:00,False,Level 3 (baby care); Level 2 (diaper changing),False,False,False,False,False,Fits multiple strollers; dated decor,True,2026-08-15T18:21:34.211459+00:00,40eed81d-e84d-4197-8e29-54503721f513
False,2026-08-15T18:21:34.211459+00:00,False,Level 3,False,False,True,False,False,Lockable; bench; waiting area,False,2026-08-15T18:21:34.211459+00:00,6da692b7-871f-4d8c-aef3-917f2517bd87
False,2026-08-15T18:21:34.211459+00:00,False,"Levels B1, 1 to 3",False,False,True,False,False,No locks; bench; waiting area,False,2026-08-15T18:21:34.211459+00:00,0c0b2411-f6cb-4440-b440-0274a48573e4
False,2026-08-15T18:21:34.211459+00:00,False,Level 1,False,False,True,False,False,"One cubicle, curtain-separated, no locks",False,2026-08-15T18:21:34.211459+00:00,cba65651-e8e8-4ab8-92f7-e5ba98070f0a
False,2026-08-15T18:21:34.211459+00:00,False,Level 2,False,False,True,False,False,Two lockable rooms; sofa,False,2026-08-15T18:21:34.211459+00:00,9d71b83b-652e-4fca-a8c4-b2aceb674db4
False,2026-08-15T18:21:34.211459+00:00,False,Level B1,False,False,True,False,False,One lockable room; bench,False,2026-08-15T18:21:34.211459+00:00,9e649b9a-a018-46e8-aeb5-92dd48edb9d8
False,2026-08-15T18:21:34.211459+00:00,False,Level 1,False,False,True,False,False,Single lockable room; lift access only,False,2026-08-15T18:21:34.211459+00:00,14aeef8f-358b-4bcf-86aa-577a20ea81ab
False,2026-08-15T18:21:34.211459+00:00,False,Level 3,False,False,False,False,False,Small area inside female restroom,False,2026-08-15T18:21:34.211459+00:00,32f7d197-b404-4382-838e-13067e01fa1d
False,2026-08-15T18:21:34.211459+00:00,True,"Level B1, 3 and 5; family toilet Levels 2-5",True,False,True,False,True,3 lockable rooms; bottle warmer; children's loo · Lvl 3 got kids toilet inside nursing room. 3 lockable nursing rooms within diaper changing room + diaper changing mat + water dispenser + sink · Also reported at: Level 3,True,2026-08-15T18:21:34.211459+00:00,437a1b0f-59f4-4e2d-9473-73b798bb0d74
False,2026-08-15T18:21:34.211459+00:00,True,Level B1 near restrooms,False,False,True,False,False,Two lockable rooms; no stroller space,True,2026-08-15T18:21:34.211459+00:00,1f0bf352-5e46-45dc-875f-a993a1028ae6
False,2026-08-18T15:21:57.562313+00:00,False,"Golden Garden, near the main Information Counter",True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only.",False,2026-08-18T15:21:57.562313+00:00,f92642b4-111f-477b-8a90-ae909ea162af
False,2026-08-18T15:21:58.052866+00:00,False,"The Canopy, near the Flower Dome and Cloud Forest entrance",True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only.",False,2026-08-18T15:21:58.052866+00:00,d6bb5785-06a5-49a8-9933-b4033d7ace25
False,2026-08-18T15:21:58.552225+00:00,False,Inside the Cloud Forest cooled conservatory,True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only.",False,2026-08-18T15:21:58.552225+00:00,de33f189-c91d-4d44-9dd0-069cad63ba5c
False,2026-08-18T15:21:59.005516+00:00,False,"Floral Fantasy, near the ticketing and attraction area",True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only. Position approximate: pinned at the main Gardens by the Bay entrance, as OneMap has no entry for Floral Fantasy.",False,2026-08-18T15:21:59.005516+00:00,9fe9529e-c7e4-4e9e-b485-cb7e9ee9cd0e
False,2026-08-18T15:21:59.41675+00:00,False,"Supertree Food Hall, close to the dining options",True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only.",False,2026-08-18T15:21:59.41675+00:00,8d91c19b-f193-4986-8407-a1c8998986bb
False,2026-08-18T15:21:59.842771+00:00,False,Far East Organization Children's Garden,True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only.",False,2026-08-18T15:21:59.842771+00:00,9c3aa40b-10f3-4bc4-ad4b-34f1354418ee
False,2026-08-18T15:22:00.314161+00:00,False,"The Meadow, near the large outdoor event ground",True,False,False,False,True,"Typical amenities: diaper-changing table, sink and soap, hot and cold water dispenser, nursing chair or bench. Power points in select rooms only.",False,2026-08-18T15:22:00.314161+00:00,04ba0ba7-c875-47db-9ba2-9beac787d004
False,2026-08-18T15:30:28.108201+00:00,False,Basement 1 and Level 1,True,False,True,False,True,,False,2026-08-18T15:30:28.108201+00:00,35980500-f7dc-4980-a963-d0102db0628b
